Patient 2,,,,,,,,,
Time ,Ankle,,,Thigh,,,Trunk,,
ms,Horizontal forward,Vertical,Horizontal Lateral,Horizontal forward,Vertical,Horizontal Lateral,Horizontal forward,Vertical,Horizontal Lateral
15,40,29,-960,-9,-37,-979,504,-380,-737
31,70,49,-960,-9,-37,-979,504,-380,-737
46,60,29,-970,-9,-37,-979,495,-361,-747
62,60,29,-970,-9,-37,-979,495,-361,-747
78,50,19,-960,-9,-37,-989,495,-361,-757
93,60,39,-960,-9,-37,-989,495,-361,-757
109,60,39,-960,-9,-55,-989,514,-371,-766
125,40,19,-960,9,-46,-989,485,-380,-747
140,40,19,-960,9,-46,-989,485,-380,-747
156,40,19,-960,-9,-37,-1000,504,-371,-747
171,40,19,-960,-9,-37,-979,504,-371,-747
187,40,19,-960,-18,-37,-989,504,-390,-747
203,40,39,-960,-18,-37,-989,485,-361,-786
218,40,39,-960,-18,-37,-979,485,-361,-786
234,60,29,-960,0,-37,-1000,495,-371,-747
250,50,39,-940,0,-37,-1000,514,-371,-747
265,60,29,-940,-9,-37,-979,504,-380,-757
281,50,19,-940,-18,-37,-979,504,-380,-757
296,40,39,-980,-9,-37,-979,524,-380,-766
312,40,39,-980,-9,-37,-979,504,-371,-757
328,70,19,-980,-18,-46,-989,504,-371,-757
343,30,39,-950,-18,-27,-979,504,-380,-747
359,60,19,-960,-18,-37,-979,514,-371,-747
375,70,29,-960,-9,-27,-989,495,-371,-728
390,60,29,-970,-9,-27,-989,495,-371,-728
406,50,49,-970,-18,-37,-979,504,-371,-747
421,50,49,-970,0,-37,-979,504,-371,-747
437,60,29,-970,-18,-37,-989,504,-371,-757
453,60,29,-980,-9,-46,-1000,504,-371,-747
468,50,29,-970,-9,-46,-1000,504,-371,-747
484,60,29,-970,-9,-46,-969,485,-371,-737
500,50,29,-960,-9,-37,-969,504,-371,-766
515,60,19,-970,-9,-18,-989,504,-371,-747
531,70,29,-970,-18,-37,-979,504,-371,-747
546,70,19,-970,-18,-37,-989,495,-371,-766
562,70,19,-970,-9,-46,-969,495,-361,-757
578,70,19,-970,-9,-46,-969,504,-371,-766
593,70,9,-960,-9,-55,-979,504,-371,-757
609,60,29,-980,-9,-46,-979,504,-361,-757
625,50,29,-960,-9,-37,-959,504,-361,-757
640,70,29,-950,-18,-46,-969,514,-380,-747
656,60,19,-960,-18,-46,-969,524,-380,-737
671,60,29,-950,-18,-37,-979,504,-361,-757
687,50,39,-960,-9,-37,-989,504,-380,-757
703,60,29,-980,-18,-46,-989,504,-371,-757
718,60,29,-970,-18,-46,-989,495,-361,-757
734,60,29,-970,-18,-46,-989,495,-361,-757
750,60,39,-960,-9,-37,-1000,504,-371,-757
765,60,19,-950,-9,-37,-989,495,-371,-757
781,60,29,-970,-9,-46,-1000,504,-371,-757
796,60,39,-970,-9,-46,-1000,495,-371,-757
812,60,49,-980,-9,-37,-979,495,-371,-737
828,90,9,-970,-9,-27,-979,514,-380,-757
843,80,49,-960,-9,-27,-979,495,-380,-766
859,60,29,-950,-18,-46,-979,495,-380,-766
875,50,29,-960,-18,-46,-979,504,-361,-766
890,50,29,-970,-9,-37,-969,485,-380,-766
906,50,29,-970,-9,-37,-969,495,-371,-737
921,60,29,-960,-9,-37,-989,504,-361,-757
937,60,0,-980,-18,-37,-989,495,-371,-747
953,50,29,-970,-18,-37,-989,504,-361,-766
968,50,29,-970,-18,-37,-989,504,-380,-747
984,60,29,-970,-9,-37,-979,504,-371,-757
1000,50,39,-950,-9,-46,-1000,504,-380,-737
1015,40,29,-990,-9,-46,-1000,504,-380,-737
1031,70,19,-980,-9,-46,-989,514,-371,-757
1046,70,29,-980,-18,-27,-979,495,-380,-757
1062,60,49,-950,-18,-27,-979,504,-371,-757
1078,60,49,-950,-9,-46,-989,504,-361,-766
1093,50,29,-960,-9,-37,-979,485,-361,-757
1109,70,39,-950,-18,-46,-989,514,-371,-747
1125,60,29,-990,-18,-46,-989,514,-380,-766
1140,40,29,-950,-18,-37,-969,514,-390,-737
1156,50,29,-960,-9,-37,-1000,504,-371,-757
1171,50,29,-960,-18,-37,-969,504,-371,-747
1187,80,19,-960,-18,-37,-969,514,-390,-747
1203,60,39,-970,-9,-46,-979,504,-380,-737
1218,40,29,-970,-18,-37,-1000,495,-380,-747
1234,70,39,-960,-9,-37,-979,504,-380,-757
1250,70,39,-960,-9,-37,-979,504,-371,-737
1265,50,39,-970,-9,-46,-989,514,-380,-737
1281,60,39,-940,-9,-37,-989,495,-380,-776
1296,60,29,-970,-9,-37,-989,504,-361,-747
1312,60,19,-940,-9,-46,-969,504,-361,-747
1328,60,19,-940,-9,-37,-1000,495,-371,-766
